NM_VOTAVEL,DS_CARGO,QT_VOTOS
MARIA VANDA RIBEIRO DA SILVA,Vereador,687
ANDRE BARBOSA MOREIRA,Vereador,721
DANIEL DE PAIVA MORAIS,Vereador,259
RUBENS PEREIRA NUNES,Vereador,143
AILSON BATISTA DE FIGUEIREDO,Vereador,492
EDSON ONESIMO DA SILVA,Vereador,542
MAURO HENRIQUE DE ALBUQUERQUE,Vereador,447
ILTON OLIVEIRA TORRES,Vereador,344
JUVENIL BORGES GOMES,Vereador,542
BRAYNER SOTERO,Vereador,185
LINO SOARES FONSECA NETO,Vereador,407
AILTON FERNANDO DE AREDES,Vereador,414
DEL REI ALVES DA ROCHA,Vereador,203
LAUDAIR JOSÉ TEODORO,Vereador,700
ALEX JUNIO CORREA DO CARMO,Vereador,254
EDNA RITA DE CASSIA VIEIRA,Vereador,283
WELSON MENDES PEREIRA,Vereador,137
BÁRBARA AMORIM XAVIER,Vereador,528
JOSÉ DOS REIS FAGUNDES,Vereador,553
ROBERTO FERREIRA DA SILVA,Vereador,1020
FABRICIO ALMEIDA GUIMARÃES,Vereador,1134
SILVANO DE PAULA FERREIRA,Vereador,518
SIDICLEY DE SOUZA PERES,Vereador,1621
JOSÉ OSMAR CAMPOS DOS SANTOS,Vereador,165
JULIANA APARECIDA GARCIA,Vereador,641
MAURICIO ZUCATO JUNIOR,Vereador,1110
Cidadania,Vereador,6443
ROSANGELA LADEIA DE SOUZA,Vereador,405
MUNIQUE PRISCILA DA SILVA,Vereador,945
APOLO DIAS SAMPAIO,Vereador,192
GERALDINA APARECIDA DIAS,Vereador,192
EVANICE VIEIRA SILVA,Vereador,340
ANTÔNIO AFONSO SOARES TOMÁS,Vereador,1851
WASHINGTON TORRES HUBNER DE MEDEIROS,Vereador,1042
JACQUELINE VECHI VILELA KRAUSS DE OLIVEIRA,Vereador,589
JOSIMAR SILVA CARDOSO,Vereador,567
GEREMIAS CANDIDO DE SOUSA,Vereador,192
JESUALDO PEREIRA DAMASCENA,Vereador,583
ADEMIR CAETANO MATIAS,Vereador,245
CHARLES QUEIROZ ULHOA,Vereador,143
FABIANA APARECIDA REIS BORELLI,Vereador,290
FRANCISCO DE ASSIS SIQUEIRA DE MIRANDA,Vereador,294
LUCIANE SOUZA LIMA,Vereador,465
ADELMAR PEREIRA DUTRA,Vereador,313
WANDERLEY PEREIRA DOS SANTOS,Vereador,286
MARCOS ANTONIO DA SILVA,Vereador,676
JULIANA ELLEN DE SALES,Vereador,2078
ADILENE FERREIRA DA SILVA,Vereador,231
EDER FERNANDES CARDOSO,Vereador,695
RAFAEL ALEX MARTINS SOARES,Vereador,251
AIRTON SANTO ZUANETTI,Vereador,489
TAINA SOARES ZUMERLI,Vereador,1425
