NM_VOTAVEL,DS_CARGO,ANO
Partido Social Cristão,DEPUTADO ESTADUAL,2022
Partido Social Cristão,DEPUTADO FEDERAL,2022
Partido Social Democrático,DEPUTADO ESTADUAL,2022
Partido Social Democrático,DEPUTADO FEDERAL,2022
Partido Socialismo e Liberdade,DEPUTADO ESTADUAL,2022
Partido Socialismo e Liberdade,DEPUTADO FEDERAL,2022
Partido Socialista Brasileiro,DEPUTADO ESTADUAL,2022
Partido Trabalhista Brasileiro,DEPUTADO ESTADUAL,2022
Partido Trabalhista Brasileiro,DEPUTADO FEDERAL,2022
Partido Verde,DEPUTADO ESTADUAL,2022
Partido da Mobilização Nacional,DEPUTADO FEDERAL,2022
Partido da Mulher Brasileira,DEPUTADO ESTADUAL,2022
Partido da Mulher Brasileira,DEPUTADO FEDERAL,2022
Partido da Social Democracia Brasileira,DEPUTADO ESTADUAL,2022
Partido dos Trabalhadores,DEPUTADO ESTADUAL,2022
Partido dos Trabalhadores,DEPUTADO FEDERAL,2022
Patriota,DEPUTADO ESTADUAL,2022
Patriota,DEPUTADO FEDERAL,2022
Podemos,DEPUTADO FEDERAL,2022
RAFAEL AUGUSTO SALERNO,DEPUTADO FEDERAL,2022
RAUL JOSE DE BELEM,DEPUTADO ESTADUAL,2022
REGINALDO LÁZARO DE OLIVEIRA LOPES,DEPUTADO FEDERAL,2022
RENATA REGINA DE ABREU RODRIGUES,GOVERNADOR,2022
REPUBLICANOS,DEPUTADO ESTADUAL,2022
RICARDO DA FONSECA TAMES ZAMBRANA,DEPUTADO FEDERAL,2022
RIZZIA ALVES ETTI FROES,DEPUTADO FEDERAL,2022
ROBERTO DIAS DE ANDRADE,DEPUTADO ESTADUAL,2022
RODRIGO ANTÔNIO DE PAIVA,DEPUTADO FEDERAL,2022
RODRIGO BATISTA DE CASTRO,DEPUTADO FEDERAL,2022
ROGERIO RODRIGUES DA SILVA,DEPUTADO ESTADUAL,2022
ROGÉRIO CORREIA DE MOURA BAPTISTA,DEPUTADO FEDERAL,2022
ROMEU ZEMA NETO,GOVERNADOR,2022
ROMILSON LIBERATO DA SILVA,DEPUTADO FEDERAL,2022
RONALDO CESAR VILELA TANNUS,DEPUTADO ESTADUAL,2022
ROSELANE ANDREA DA SILVA,DEPUTADO FEDERAL,2022
RUBENS GONÇALVES DE BRITO,DEPUTADO ESTADUAL,2022
RUBENS SOARES DA ROCHA,DEPUTADO FEDERAL,2022
RUTE DA SILVA TEIXEIRA,DEPUTADO FEDERAL,2022
Rede Sustentabilidade,DEPUTADO ESTADUAL,2022
SAMIRA COSTA JAFFAR,DEPUTADO ESTADUAL,2022
SAMUEL PEREIRA,DEPUTADO ESTADUAL,2022
SANDRO LUCIO GONÇALVES,DEPUTADO FEDERAL,2022
SANDRO LÚCIO FONSECA,DEPUTADO ESTADUAL,2022
SARA RAYANNE SILVA AZEVEDO,SENADOR,2022
SERGIO AUGUSTO SANTOS RODRIGUES,DEPUTADO FEDERAL,2022
SERGIO SANTOS SETTE CAMARA,DEPUTADO FEDERAL,2022
